ID;Nome;Data_Entrada;Status;Promovido;Setor
5000;Colaborador_5000;2025-03-22;Ativo;Não;Triagem
5001;Colaborador_5001;2025-05-04;Desligado;Sim;Expedição
5002;Colaborador_5002;2025-07-19;Desligado;Não;Triagem
5003;Colaborador_5003;2025-12-07;Ativo;Não;Reverso (DV)
5004;Colaborador_5004;2025-02-04;Desligado;Não;Expedição
5005;Colaborador_5005;2026-03-02;Desligado;Não;Triagem
5006;Colaborador_5006;2025-05-14;Desligado;Não;Expedição
5007;Colaborador_5007;2026-03-15;Desligado;Não;Reverso (DV)
5008;Colaborador_5008;2026-01-22;Ativo;Sim;Recebimento
5009;Colaborador_5009;2026-01-20;Ativo;Sim;Recebimento
5010;Colaborador_5010;2025-09-24;Desligado;Não;Triagem
5011;Colaborador_5011;2025-04-12;Ativo;Sim;Reverso (DV)
5012;Colaborador_5012;2025-03-27;Ativo;Não;Reverso (DV)
5013;Colaborador_5013;2025-12-21;Ativo;Não;Triagem
5014;Colaborador_5014;2025-01-11;Ativo;Não;Reverso (DV)
5015;Colaborador_5015;2025-12-14;Ativo;Não;Triagem
5016;Colaborador_5016;2025-06-03;Ativo;Não;Reverso (DV)
5017;Colaborador_5017;2025-10-14;Ativo;Não;Recebimento
5018;Colaborador_5018;2025-10-08;Ativo;Não;Recebimento
5019;Colaborador_5019;2025-07-04;Ativo;Não;Recebimento
5020;Colaborador_5020;2025-06-03;Ativo;Não;Reverso (DV)
5021;Colaborador_5021;2025-08-23;Ativo;Não;Recebimento
5022;Colaborador_5022;2025-04-27;Ativo;Sim;Expedição
5023;Colaborador_5023;2025-05-18;Ativo;Não;Triagem
5024;Colaborador_5024;2025-10-03;Desligado;Não;Triagem
5025;Colaborador_5025;2025-04-13;Ativo;Sim;Reverso (DV)
5026;Colaborador_5026;2025-09-10;Ativo;Não;Reverso (DV)
5027;Colaborador_5027;2025-08-24;Desligado;Não;Recebimento
5028;Colaborador_5028;2025-09-20;Ativo;Não;Expedição
5029;Colaborador_5029;2025-12-08;Ativo;Não;Expedição
